source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/16uPy9Opak9H9b18gjfTJ1vvcW_qDkUyD/view?usp=sharing","৯। | বৌদ্ধ ধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/17D7qJz4BaI095Lot1pd83q8FlvazXyR1/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1H3PMvh9vJpSb8C-uCfqzxSPO5hbmU7m_/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1X7yjxsFiOoTv65qWSpDvRN2noFvA7Za9/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1dAXfQ1_efFgESt4KRIDjGPo4HriWLVE9/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1qPxfDV4qxnbShIJOzpbUHBpuvJbmMPrH/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1ZhACUT6YLzT7vHfa8uJfZ8_-TlNV9oYA/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/17D7qJz4BaI095Lot1pd83q8FlvazXyR1/view?usp=drive_link","১। | আমার বাংলা বই"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1H3PMvh9vJpSb8C-uCfqzxSPO5hbmU7m_/view?usp=drive_link","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1X7yjxsFiOoTv65qWSpDvRN2noFvA7Za9/view?usp=drive_link","৪। | ইসলাম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1dAXfQ1_efFgESt4KRIDjGPo4HriWLVE9/view?usp=drive_link","৫। | হিন্দুধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1qPxfDV4qxnbShIJOzpbUHBpuvJbmMPrH/view?usp=drive_link","৬। | খ্রিষ্টধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1ZhACUT6YLzT7vHfa8uJfZ8_-TlNV9oYA/view?usp=drive_link","৭। | বাংলাদেশ ও বিশ্বপরিচয়"
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1sSJ5MnTO5yQLCQtV2Wb6avNynwltl1lj/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/12HdqPVdsyhVHqiRbHhEnM8hHUIx6i62f/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1KD07ZYKehQ6zuYCroVkxFVCZrBAFpn0p/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1sSJ5MnTO5yQLCQtV2Wb6avNynwltl1lj/view?usp=sharing","১। | আমার বাংলা বই"
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/12HdqPVdsyhVHqiRbHhEnM8hHUIx6i62f/view?usp=sharing","২। | প্রাথমিক গণিত"
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1KD07ZYKehQ6zuYCroVkxFVCZrBAFpn0p/view?usp=sharing","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1sSJ5MnTO5yQLCQtV2Wb6avNynwltl1lj/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1KD07ZYKehQ6zuYCroVkxFVCZrBAFpn0p/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1sSJ5MnTO5yQLCQtV2Wb6avNynwltl1lj/view?usp=drive_link","১। | আমার বাংলা বই"
"2017\২০১৭ শিক্ষাবর্ষের দ্বিতীয় শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1KD07ZYKehQ6zuYCroVkxFVCZrBAFpn0p/view?usp=drive_link","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1E_EBOIZnUw-yNpY4sUCpGAjQobHBNgAG/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1CaZzniK1XcsyTI3dyL9lzWYSBHGd6PNZ/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/16oscA0tsdcMPgs8BLckD8glQAnwl_Fws/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/16ptR4cXSQOBSbcDdMZdJLd-9LJDTEj-3/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1yM4ACSpgIZIbQLbDERgRSSlNwp4jkWE6/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1YGf-XwvG1sdCxlxfuZ5iYJmk34_JJCft/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1GOwvuIS7n2t6yXs7kHOJmPCChiuZKW_m/view?usp=sharing",""
